,Rainfall,LakeLevel,DayOfWeek,Month,AverageGate,FlowRate,IsWeekend
2018-01-01,2.42,279.17458331982294,0,1,300.0,17.120989267132693,False
2018-01-02,11.132,279.1688333218296,1,1,500.0,23.67942872499284,False
2018-01-03,5.324,279.165041646858,2,1,500.0,23.62479131903108,False
2018-01-04,122.93599999999999,279.20999998251597,3,1,500.0,24.407485814262277,False
2018-01-05,53.724,279.3479583228628,4,1,1400.0,41.0851295193022,False
2018-01-06,21.296,279.31716665029523,5,1,1400.0,40.492730166067524,True
2018-01-07,18.392,279.30112498899297,6,1,1400.0,39.870602601175634,True
2018-01-08,0.0,279.2681249866883,0,1,1400.0,38.78174336191903,False
2018-01-09,0.0,279.2377916490038,1,1,1400.0,37.95983960621764,False
2018-01-10,0.0,279.20749998738364,2,1,1400.0,36.698625484120114,False
2018-01-11,0.0,279.19104165236155,3,1,499.0,25.464583787879555,False
2018-01-12,0.0,279.1966666544477,4,1,550.0,25.590738923066052,False
2018-01-13,0.0,279.19824998478094,5,1,550.0,25.604780233322174,True
2018-01-14,0.0,279.1977083176374,6,1,550.0,25.632861418002953,True
2018-01-15,1.974,279.199249989291,0,1,550.0,25.604780233322174,False
2018-01-16,1.4805,279.2048749814431,1,1,550.0,25.646906546232174,False
2018-01-17,0.4935,279.18820832073686,2,1,1400.0,35.499116465472056,False
2018-01-18,5.4285,279.16362497856215,3,1,1400.0,34.437477846364345,False
2018-01-19,6.909,279.14645832180975,4,1,1400.0,33.87990671689214,False
2018-01-20,0.0,279.1312916629016,5,1,549.0,24.531882114840197,True
2018-01-21,0.0,279.13074999824164,6,1,549.0,24.42129267056875,True
2018-01-22,0.987,279.13141666377584,0,1,549.0,24.448917055005325,False
2018-01-23,6.909,279.1344999921818,1,1,549.0,24.587212122234657,False
2018-01-24,0.0,279.13345832402507,2,1,549.0,24.53186739216414,False
2018-01-25,0.0,279.13199999332426,3,1,549.0,24.53186739216414,False
2018-01-26,26.15549999999999,279.14241665874914,4,1,549.0,24.55953443081762,False
2018-01-27,0.4935,279.16037498563526,5,1,549.0,24.934108401823636,True
2018-01-28,0.0,279.1593333100279,6,1,549.0,24.836803340749,True
2018-01-29,0.0,279.15662498176096,0,1,549.0,24.795148548771643,False
2018-01-30,0.0,279.1533333177368,1,1,549.0,24.684175818131745,False
2018-01-31,0.0,279.14791665251056,2,1,549.0,24.53186739216414,False
2018-02-01,24.674999999999997,279.151374989748,3,2,549.0,24.53186739216414,False
2018-02-02,40.466999999999985,279.2139166459441,4,2,1200.0,35.939471399449204,False
2018-02-03,1.974,279.1914583161473,5,2,1200.0,34.99815538844087,True
2018-02-04,0.0,279.1728695558465,6,2,549.0,26.012919813935053,True
2018-02-05,0.0,279.16858332256476,0,2,600.0,26.012919813935053,False
2018-02-06,0.0,279.15849998245636,1,2,600.0,25.928289542719902,False
2018-02-07,0.0,279.15679164876536,2,2,600.0,25.787457578025005,False
2018-02-08,0.0,279.14462498972813,3,2,600.0,25.660946420656835,False
