,Rainfall,LakeLevel,AverageGate,FlowRate
2018-01-01,2.42,279.17458331982294,300.0,17.120989267132693
2018-01-02,11.132,279.1688333218296,500.0,23.67942872499284
2018-01-03,5.324,279.165041646858,500.0,23.62479131903108
2018-01-04,122.93599999999999,279.20999998251597,500.0,24.407485814262277
2018-01-05,53.724,279.3479583228628,1400.0,41.0851295193022
2018-01-06,21.296,279.31716665029523,1400.0,40.49273016606753
2018-01-07,18.392,279.30112498899297,1400.0,39.870602601175634
2018-01-08,0.0,279.2681249866883,1400.0,38.78174336191903
2018-01-09,0.0,279.2377916490038,1400.0,37.95983960621764
2018-01-10,0.0,279.20749998738364,1400.0,36.698625484120114
2018-01-11,0.0,279.19104165236155,499.0,25.46458378787955
2018-01-12,0.0,279.1966666544477,550.0,25.59073892306605
2018-01-13,0.0,279.19824998478094,550.0,25.604780233322167
2018-01-14,0.0,279.1977083176374,550.0,25.63286141800295
2018-01-15,1.974,279.199249989291,550.0,25.604780233322167
2018-01-16,1.4805,279.2048749814431,550.0,25.646906546232174
2018-01-17,0.4935,279.18820832073686,1400.0,35.499116465472056
2018-01-18,5.4285,279.16362497856215,1400.0,34.437477846364345
2018-01-19,6.909,279.14645832180975,1400.0,33.87990671689214
2018-01-20,0.0,279.1312916629016,549.0,24.531882114840194
2018-01-21,0.0,279.13074999824164,549.0,24.42129267056875
2018-01-22,0.987,279.13141666377584,549.0,24.448917055005325
2018-01-23,6.909,279.1344999921818,549.0,24.587212122234654
2018-01-24,0.0,279.13345832402507,549.0,24.53186739216414
2018-01-25,0.0,279.13199999332426,549.0,24.53186739216414
2018-01-26,26.15549999999999,279.14241665874914,549.0,24.55953443081762
2018-01-27,0.4935,279.16037498563526,549.0,24.934108401823636
2018-01-28,0.0,279.1593333100279,549.0,24.836803340749
2018-01-29,0.0,279.15662498176096,549.0,24.795148548771643
2018-01-30,0.0,279.1533333177368,549.0,24.684175818131745
2018-01-31,0.0,279.14791665251056,549.0,24.53186739216414
2018-02-01,24.674999999999997,279.151374989748,549.0,24.53186739216414
2018-02-02,40.466999999999985,279.2139166459441,1200.0,35.939471399449204
2018-02-03,1.974,279.1914583161473,1200.0,34.99815538844087
2018-02-04,0.0,279.1728695558465,549.0,26.012919813935053
2018-02-05,0.0,279.16858332256476,600.0,26.012919813935053
2018-02-06,0.0,279.15849998245636,600.0,25.928289542719902
2018-02-07,0.0,279.15679164876536,600.0,25.787457578025005
2018-02-08,0.0,279.14462498972813,600.0,25.660946420656835
2018-02-09,20.2335,279.1448333241045,600.0,25.56268020539115
2018-02-10,31.0905,279.17233332147197,589.0,26.069383341566184
2018-02-11,48.8565,279.2169166545073,589.0,26.295674021164437
2018-02-12,42.93449999999999,279.30370832135276,1400.0,40.18124606356684
2018-02-13,5.922,279.3114999895294,1400.0,40.13214577255904
2018-02-14,28.129499999999997,279.31091665377215,1400.0,40.08306371848397
2018-02-15,0.4935,279.3092499837279,1400.0,40.05035451098221
2018-02-16,0.0,279.29320832739273,1400.0,39.463123118060864
2018-02-17,6.909,279.2805833160877,1400.0,38.89501530120735
2018-02-18,0.0,279.2652083178361,1400.0,38.410333922051116
2018-02-19,6.909,279.2559999838471,1400.0,37.95984888680546
2018-02-20,14.805,279.2613333205382,1400.0,38.0401451570301
2018-02-21,0.0,279.24762498488025,1400.0,37.73527423980494
2018-02-22,0.987,279.2329166546464,1400.0,37.04837528556091
2018-02-23,0.0,279.2182083194454,1400.0,36.4449678062072
2018-02-24,0.0,279.20241665492455,1400.0,35.82920337426934
2018-02-25,0.0,279.1917499790589,579.0,26.18244929658093
2018-02-26,0.0,279.1934999788801,579.0,26.041146349266555
2018-02-27,0.987,279.2016666521628,579.0,26.15415702441044
2018-02-28,0.4935,279.20962497989336,579.0,26.2531932367083
2018-03-01,2.961,279.1989166552822,1400.0,35.483426757315485
2018-03-02,0.0,279.1812916487455,1400.0,35.01377591107335
2018-03-03,0.0,279.1608333180348,1400.0,34.15830856273632
2018-03-04,0.0,279.13729165891806,1400.0,33.49453213035842
2018-03-05,0.0,279.1268749922514,579.0,24.975842766642813
2018-03-06,0.987,279.1324999968211,579.0,24.98976128634477
2018-03-07,3.948,279.1409166606764,590.0,25.33857610217034
2018-03-08,2.961,279.1426666604976,590.0,25.506594329378988
2018-03-09,1.4805,279.13462498933075,590.0,25.47856717836059
2018-03-10,0.0,279.13333331942556,590.0,25.33857610217034
2018-03-11,0.0,279.13095833261804,590.0,25.25471601993048
2018-03-12,39.48,279.12966666022936,590.0,25.198848774801984
2018-03-13,0.0,279.1520833201706,590.0,25.759330574044856
2018-03-14,0.4935,279.15741665065286,590.0,25.70309230931104
2018-03-15,0.0,279.1541249853869,590.0,25.70309230931104
2018-03-16,0.0,279.1493749906619,590.0,25.64690129242761
2018-03-17,0.0,279.14670832479993,590.0,25.53463200627625
2018-03-18,0.0,279.1397083255152,590.0,25.42254446862762
2018-03-19,0.0,279.13337499052284,590.0,25.33857610217034
2018-03-20,0.0,279.1289583298067,590.0,25.226770454700738
2018-03-21,0.0,279.1242916611333,590.0,25.1430371179742
2018-03-22,19.664999999999996,279.1198333268364,590.0,25.1430371179742
2018-03-23,2.07,279.1209583260119,590.0,25.031527437920825
2018-03-24,12.9375,279.1185416569312,590.0,25.059398945855044
2018-03-25,5.6925,279.12616666182873,590.0,25.226770454700738
2018-03-26,0.0,279.12320833057163,590.0,25.17093766132351
2018-03-27,0.0,279.1209166586399,590.0,25.1430371179742
2018-03-28,0.0,279.1161666564643,590.0,25.031527437920825
2018-03-29,0.5175,279.1108333234985,590.0,24.96192954504488
2018-03-30,0.0,279.10741665860013,590.0,24.892395240648387
2018-03-31,0.0,279.10670832693575,399.0,19.896111124988792
2018-04-01,0.0,279.1127083217104,399.0,19.934749634247662
2018-04-02,0.0,279.1154999921719,399.0,19.986315522692266
2018-04-03,0.0,279.1182083229224,399.0,20.037920751335275
2018-04-04,0.0,279.1214583245416,399.0,20.05083365984838
2018-04-05,0.0,279.1214583245416,399.0,20.14127984480327
2018-04-06,0.0,279.1262916552524,399.0,20.270724693428352
2018-04-07,0.0,279.1225833274424,399.0,20.244814297878182
2018-04-08,0.0,279.1248333295186,399.0,20.32258562559849
2018-04-09,0.0,279.12179166227577,399.0,20.32258562559849
2018-04-10,5.175,279.1276521674965,399.0,20.34852997104604
2018-04-11,13.454999999999998,279.13458332568405,399.0,20.60861317962013
2018-04-12,1.035,279.1268749972184,399.0,20.42643702415276
2018-04-13,0.0,279.1148333241542,399.0,20.28368864236763
2018-04-14,4.14,279.12266666218636,349.0,18.610189306481026
2018-04-15,0.0,279.122916662693,349.0,18.660559023802573
2018-04-16,18.112499999999997,279.1322916612029,400.0,20.53046913095436
2018-04-17,0.5175,279.13820832620064,400.0,20.569532990441353
2018-04-18,1.5524999999999998,279.1324166658024,400.0,20.491439668654536
2018-04-19,0.0,279.13191666230557,349.0,18.78668363496104
2018-04-20,0.0,279.12770832851527,349.0,18.76143188529014
2018-04-21,0.0,279.1278749967615,349.0,18.76143188529014
2018-04-22,0.0,279.12795832653836,349.0,18.78668363496104
2018-04-23,0.0,279.1274583230416,349.0,18.76143188529014
2018-04-24,0.0,279.1253333280484,349.0,18.723586496812892
