,Rainfall,LakeLevel,AverageGate,y_step_1,y_step_2,y_step_3
2018-01-01,0.13502131106582346,-0.17843774582689267,-1.4501410900549816,300.0,500.0,500.0
2018-01-02,0.6016307930848899,0.43378288423365896,-0.6866961768140308,500.0,500.0,500.0
2018-01-03,0.4266273845910134,-0.06796520984395217,-0.6746913976396518,500.0,500.0,1400.0
2018-01-04,3.7173568842603704,10.195817894322591,-0.40243226891659584,500.0,1400.0,1400.0
2018-01-05,4.416236678257164,2.8226606314612077,-0.5422309270640103,1400.0,1400.0,1400.0
2018-01-06,3.362614460188434,0.05249126525159011,-0.3193899749844366,1400.0,1400.0,1400.0
2018-01-07,3.162610775945162,-0.15242699906116872,-0.08430437639406273,1400.0,1400.0,1400.0
2018-01-08,2.4414753748115445,-1.6730955385741813,0.29368042638641795,1400.0,1400.0,1400.0
2018-01-09,2.200233818739722,-1.5745510993057217,0.7849108012798601,1400.0,1400.0,499.0
2018-01-10,1.959323713124298,-1.4761420537890806,1.2754662570813904,1400.0,499.0,550.0
2018-01-11,0.4991530669934152,-0.6227714104403714,-1.144009723501841,499.0,550.0,550.0
2018-01-12,0.6191309123472495,-0.6863229331604412,-1.0830650474611179,550.0,550.0,550.0
2018-01-13,0.6317231657068216,-0.6914667258247367,-1.1087061411404104,550.0,550.0,550.0
2018-01-14,0.6274152776024691,-0.6897070023981959,-1.099934163696068,550.0,550.0,550.0
2018-01-15,0.6889066341528794,-0.5199966857725125,-1.1081110349325973,550.0,550.0,1400.0
2018-01-16,0.7213346895923306,-0.5819503881613008,-1.2034018357897227,550.0,1400.0,1400.0
2018-01-17,1.818204360481874,-1.3697891893710117,1.5920807284622422,1400.0,1400.0,1400.0
2018-01-18,1.7457686560148233,-0.8531279300191602,2.0321673058534735,1400.0,1400.0,549.0
2018-01-19,1.646164751287014,-0.66631923602517,2.3227632974577133,1400.0,549.0,549.0
2018-01-20,0.09772714527308338,-0.47305027260205706,-0.027337057610184297,549.0,549.0,549.0
2018-01-21,0.09341927692041334,-0.4712905572438547,-0.01856512038539003,549.0,549.0,549.0
2018-01-22,0.1233364870678566,-0.38609697909808094,-0.020966580029802957,549.0,549.0,549.0
2018-01-23,0.29554949704584954,0.12804247457910556,-0.020530496301563693,549.0,549.0,549.0
2018-01-24,0.11495863843544624,-0.4800891421032047,-0.06242484672890963,549.0,549.0,549.0
2018-01-25,0.10336050930139828,-0.47535143790875134,-0.03880804780192585,549.0,549.0,549.0
2018-01-26,0.8385074323699414,1.805831490005519,0.014962246623553617,549.0,549.0,549.0
2018-01-27,0.3413349147979554,-0.5238540736552435,-0.49412678711108227,549.0,549.0,549.0
2018-01-28,0.3207428469381843,-0.564149657080022,-0.48145486600077353,549.0,549.0,549.0
2018-01-29,0.2992034656719209,-0.5553510641525183,-0.4375950994386261,549.0,549.0,549.0
2018-01-30,0.2730248050999541,-0.5446573782516706,-0.3842885569988699,549.0,549.0,549.0
2018-01-31,0.2299459734367644,-0.5270601641575718,-0.29656888310661617,549.0,549.0,1200.0
2018-02-01,0.8728303812685092,1.645689325990247,-0.1427047880979296,549.0,1200.0,1200.0
2018-02-02,2.7245119378686677,2.2623056120552754,0.9195103774106413,1200.0,1200.0,549.0
2018-02-03,1.5859073548747469,-1.071749677448869,0.9558127748741062,1200.0,549.0,600.0
2018-02-04,0.4283968426381231,-0.6081250932113541,-0.7006663216370224,549.0,600.0,600.0
2018-02-05,0.46955046272491807,-0.639477814007768,-0.47921507965007065,600.0,600.0,600.0
2018-02-06,0.3893574854979939,-0.6067198924341612,-0.315921379723533,600.0,600.0,600.0
2018-02-07,0.3757710782851473,-0.6011699991974243,-0.28825593096214863,600.0,600.0,600.0
2018-02-08,0.2790094298023792,-0.5616439633531383,-0.09122411922343518,600.0,600.0,589.0
2018-02-09,0.7852780743895957,1.2285466303171972,0.07749527445630518,600.0,589.0,589.0
2018-02-10,1.2585246210777505,2.109925890086173,-0.30830068305630004,589.0,589.0,1400.0
2018-02-11,2.0561703736267782,3.5375561923699967,-0.8791949990639061,589.0,1400.0,1400.0
2018-02-12,3.795231781772172,2.0114375574317354,0.0826029420553585,1400.0,1400.0,1400.0
2018-02-13,2.9341287642350093,-1.2898523451666193,-0.3583832096232297,1400.0,1400.0,1400.0
2018-02-14,3.48333165802589,0.677628932988514,-0.1600536037798185,1400.0,1400.0,1400.0
2018-02-15,2.7808507871028514,-1.7630193354114723,-0.3681170614163337,1400.0,1400.0,1400.0
2018-02-16,2.6409636146470525,-1.7545842217651877,-0.11252936780034534,1400.0,1400.0,1400.0
2018-02-17,2.7128631365511175,-1.1020534269169207,0.1506887335898242,1400.0,1400.0,1400.0
2018-02-18,2.4182790572888533,-1.6636201059804445,0.34091414489810984,1400.0,1400.0,1400.0
2018-02-19,2.5173514726244375,-1.0221891298786354,0.5488011878891585,1400.0,1400.0,1400.0
2018-02-20,2.7566892525605877,-0.3406405450533977,0.5295893096397962,1400.0,1400.0,1400.0
2018-02-21,2.2784385080122322,-1.6064968278029679,0.6256657712970365,1400.0,1400.0,1400.0
2018-02-22,2.1860781125013644,-1.471354234732499,0.8722532298418337,1400.0,1400.0,1400.0
2018-02-23,2.0444872621007684,-1.5109303975415125,1.102051183939878,1400.0,1400.0,579.0
2018-02-24,1.9188958826884657,-1.4596277436262266,1.3577878049295156,1400.0,579.0,579.0
2018-02-25,0.6228132360014383,-0.6960960633502777,-0.9169892940663067,579.0,579.0,579.0
2018-02-26,0.6367310146639532,-0.70178131806548,-0.9453295010414088,579.0,579.0,579.0
2018-02-27,0.7262959153698318,-0.6409531449330516,-1.0691891284727384,579.0,579.0,1400.0
2018-02-28,0.7772810287775014,-0.7104871950103864,-1.202266912182575,579.0,1400.0,1400.0
2018-03-01,1.9649059484429803,-1.1861790761715834,1.4396525962084932,1400.0,1400.0,1400.0
2018-03-02,1.7508883453820991,-1.3909985703348655,1.6998947241510085,1400.0,1400.0,1400.0
2018-03-03,1.5881828895362726,-1.3245352371789787,2.031205230407892,1400.0,1400.0,579.0
2018-03-04,1.4009556698710905,-1.2480550416516167,2.412448407595004,1400.0,579.0,579.0
2018-03-05,0.10686135064138995,-0.4853355705885196,0.1336225582172907,579.0,579.0,590.0
2018-03-06,0.17621231637812174,-0.4162502343065108,0.05092374492865134,579.0,590.0,590.0
2018-03-07,0.3332245015501169,-0.1912811690684086,-0.02740218445179686,590.0,590.0,590.0
2018-03-08,0.3225270725194503,-0.2843258097916904,-0.06413718386982357,590.0,590.0,590.0
2018-03-09,0.22164871194373573,-0.3892397724661542,0.05350071236910692,590.0,590.0,590.0
2018-03-10,0.17445322744264738,-0.5160825810958201,0.06182635010293271,590.0,590.0,590.0
2018-03-11,0.15556491653349963,-0.5083669203382841,0.10028784985483331,590.0,590.0,590.0
2018-03-12,1.1299005315482133,2.9902047984355056,0.45699741418865714,590.0,590.0,590.0
2018-03-13,0.32357230570337714,-0.5769960331175698,-0.24181876772234878,590.0,590.0,590.0
2018-03-14,0.3782959785616861,-0.5506428231821752,-0.32399148874523537,590.0,590.0,590.0
2018-03-15,0.33980970426706125,-0.5836288262511058,-0.27488232241670707,590.0,590.0,590.0
2018-03-16,0.3020329145610465,-0.5681974361558046,-0.19795898104996706,590.0,590.0,590.0
